state;action_reward;n_state 
14568&1|20154&1|5545&1|17405&1|7331&0|18688&1|12173&1|13320&1|8281&0|2257&1;13920&1|20053&1|3651&0;14568&1|20154&1|5545&1|17405&1|7331&0|18688&1|12173&1|13320&1|8281&0|2257&1|13920&1|20053&1|3651&0
2898&1|2898&0|2898&1|3237&0|2894&1|2894&1|242&0|2894&0|17695&0|2894&1;17695&1|242&0|17695&0;2898&1|2898&0|2898&1|3237&0|2894&1|2894&1|242&0|2894&0|17695&0|2894&1|17695&1|242&0|17695&0
17715&0|1225&1|19740&0|20602&0|7258&0|4278&0|135&0|3151&0|8368&0|8368&1;12026&1|4147&0|11574&0;17715&0|1225&1|19740&0|20602&0|7258&0|4278&0|135&0|3151&0|8368&0|8368&1|12026&1|4147&0|11574&0
18940&0|13709&1|15581&1|12588&0|4312&0|8981&0|19094&1|12604&1|1224&0|18984&1;11484&1|19783&0|12411&0;18940&0|13709&1|15581&1|12588&0|4312&0|8981&0|19094&1|12604&1|1224&0|18984&1|11484&1|19783&0|12411&0
18174&1|7052&1|18485&1|2259&1|12205&0|12729&1|3002&1|17561&1|4067&0|19919&0;12143&1|19208&1|6725&0;18174&1|7052&1|18485&1|2259&1|12205&0|12729&1|3002&1|17561&1|4067&0|19919&0|12143&1|19208&1|6725&0
20705&0|17831&0|9146&0|5836&0|17163&0|18046&0|19362&0|2393&0|6239&0|18029&1;9146&0|18528&0|440&0;20705&0|17831&0|9146&0|5836&0|17163&0|18046&0|19362&0|2393&0|6239&0|18029&1|9146&0|18528&0|440&0
10364&1|7162&1|9942&0|13163&1|8566&0|9853&1|15732&1|4118&1|10642&1|2494&1;13709&1|12411&1|16975&1;10364&1|7162&1|9942&0|13163&1|8566&0|9853&1|15732&1|4118&1|10642&1|2494&1|13709&1|12411&1|16975&1
7087&0|1427&0|16378&0|3086&1|7087&1|13378&0|11027&0|13658&0|3942&0|6068&1;16505&1|16034&1|15552&0;7087&0|1427&0|16378&0|3086&1|7087&1|13378&0|11027&0|13658&0|3942&0|6068&1|16505&1|16034&1|15552&0
5727&1|2781&1|23&1|5727&0|7883&1|15696&0|1125&1|5727&0|15696&1|2781&0;2781&1|5727&1|6854&1;5727&1|2781&1|23&1|5727&0|7883&1|15696&0|1125&1|5727&0|15696&1|2781&0|2781&1|5727&1|6854&1
20507&0|16564&1|11945&0|7335&1|3362&0|15100&0|9644&0|4486&0|6041&1|15267&0;9860&1|12340&1|37&1;20507&0|16564&1|11945&0|7335&1|3362&0|15100&0|9644&0|4486&0|6041&1|15267&0|9860&1|12340&1|37&1
3500&1|5795&0|6383&0|4118&1|20481&0|12205&0|15732&0|13709&0|20068&0|13163&1;13598&1|8566&0|20716&0;3500&1|5795&0|6383&0|4118&1|20481&0|12205&0|15732&0|13709&0|20068&0|13163&1|13598&1|8566&0|20716&0
4997&1|17242&1|683&0|16848&0|5545&0|4715&0|10514&1|10086&0|15636&1|11909&1;11391&1|15468&1|6326&1;4997&1|17242&1|683&0|16848&0|5545&0|4715&0|10514&1|10086&0|15636&1|11909&1|11391&1|15468&1|6326&1
16431&0|8741&0|8741&0|13318&0|8741&0|8741&0|8749&0|10719&0|16431&0|6238&0;12881&1|15356&1|10550&1;16431&0|8741&0|8741&0|13318&0|8741&0|8741&0|8749&0|10719&0|16431&0|6238&0|12881&1|15356&1|10550&1
14700&0|5861&0|4485&0|6779&0|10642&0|6779&1|19783&0|12507&0|2494&0|7066&0;9942&0|20279&0|7066&1;14700&0|5861&0|4485&0|6779&0|10642&0|6779&1|19783&0|12507&0|2494&0|7066&0|9942&0|20279&0|7066&1
14436&0|11616&0|14336&0|20285&0|10361&1|11154&0|20432&0|7827&0|14842&1|778&0;14336&0|7827&0|20432&0;14436&0|11616&0|14336&0|20285&0|10361&1|11154&0|20432&0|7827&0|14842&1|778&0|14336&0|7827&0|20432&0
15581&0|12604&0|15216&1|18886&0|8981&0|12588&0|18075&1|19094&1|7162&0|11762&0;15216&1|7162&0|15216&0;15581&0|12604&0|15216&1|18886&0|8981&0|12588&0|18075&1|19094&1|7162&0|11762&0|15216&1|7162&0|15216&0
19940&0|5795&0|1269&1|19607&0|2494&0|20068&0|20716&0|15216&0|20068&0|16975&0;9853&0|14512&0|15344&0;19940&0|5795&0|1269&1|19607&0|2494&0|20068&0|20716&0|15216&0|20068&0|16975&0|9853&0|14512&0|15344&0
13325&1|14761&0|1995&1|3246&1|9079&0|14942&1|14132&0|13571&0|5492&0|2747&1;16896&0|2891&0|16346&0;13325&1|14761&0|1995&1|3246&1|9079&0|14942&1|14132&0|13571&0|5492&0|2747&1|16896&0|2891&0|16346&0
20382&0|2690&1|5006&1|20382&0|5006&0|16088&1|13877&1|5006&1|17980&1|2690&1;20382&1|5006&1|16088&0;20382&0|2690&1|5006&1|20382&0|5006&0|16088&1|13877&1|5006&1|17980&1|2690&1|20382&1|5006&1|16088&0
10747&1|12062&1|9130&0|16601&0|4657&1|11494&0|13389&1|359&0|7934&1|5554&0;3227&1|18658&1|20724&1;10747&1|12062&1|9130&0|16601&0|4657&1|11494&0|13389&1|359&0|7934&1|5554&0|3227&1|18658&1|20724&1
15311&1|17778&0|18947&1|8339&1|15311&0|13598&0|15311&0|11439&0|9030&1|14034&0;13998&1|19825&1|16916&1;15311&1|17778&0|18947&1|8339&1|15311&0|13598&0|15311&0|11439&0|9030&1|14034&0|13998&1|19825&1|16916&1
1121&0|11383&1|5953&0|7437&1|6558&0|5479&0|12682&0|1055&1|6375&0|12682&0;1705&0|2299&0|3815&0;1121&0|11383&1|5953&0|7437&1|6558&0|5479&0|12682&0|1055&1|6375&0|12682&0|1705&0|2299&0|3815&0
19341&0|6715&0|1475&0|3931&0|17874&0|19817&0|19341&0|11555&1|243&1|1475&0;3931&0|11897&0|7838&1;19341&0|6715&0|1475&0|3931&0|17874&0|19817&0|19341&0|11555&1|243&1|1475&0|3931&0|11897&0|7838&1
15633&0|6566&1|14715&1|13241&0|3861&0|16092&1|2626&0|4571&0|19573&0|16092&0;4487&0|4332&1|9362&0;15633&0|6566&1|14715&1|13241&0|3861&0|16092&1|2626&0|4571&0|19573&0|16092&0|4487&0|4332&1|9362&0
14209&1|19586&1|7692&0|1491&0|9454&1|5896&1|8108&0|8052&0|8894&1|2526&1;20409&0|14089&0|5323&0;14209&1|19586&1|7692&0|1491&0|9454&1|5896&1|8108&0|8052&0|8894&1|2526&1|20409&0|14089&0|5323&0
8647&1|2999&1|4648&1|16774&1|9673&1|19184&1|831&1|14168&1|7417&1|924&1;18030&1|6786&1|4765&0;8647&1|2999&1|4648&1|16774&1|9673&1|19184&1|831&1|14168&1|7417&1|924&1|18030&1|6786&1|4765&0
8811&1|20379&1|16099&1|13221&1|9290&1|8365&1|14475&0|2236&1|7544&1|20517&1;6328&1|8167&1|2046&1;8811&1|20379&1|16099&1|13221&1|9290&1|8365&1|14475&0|2236&1|7544&1|20517&1|6328&1|8167&1|2046&1
18354&0|11946&0|18354&0|15547&0|15266&0|15547&0|18862&0|18354&0|5197&0|11946&0;11946&1|11429&1|15266&1;18354&0|11946&0|18354&0|15547&0|15266&0|15547&0|18862&0|18354&0|5197&0|11946&0|11946&1|11429&1|15266&1
140&0|18740&0|1665&0|12602&0|14842&1|1475&0|20761&0|140&1|16156&1|15089&0;3182&0|16666&0|11555&0;140&0|18740&0|1665&0|12602&0|14842&1|1475&0|20761&0|140&1|16156&1|15089&0|3182&0|16666&0|11555&0
11858&1|12878&0|523&1|13334&0|11858&0|3016&0|12878&0|18173&0|13150&0|3016&1;13150&0|11858&0|523&0;11858&1|12878&0|523&1|13334&0|11858&0|3016&0|12878&0|18173&0|13150&0|3016&1|13150&0|11858&0|523&0
3618&1|9770&1|20431&0|14992&1|11881&0|10953&0|2456&1|20404&1|1849&0|11892&0;13141&1|4715&0|10416&0;3618&1|9770&1|20431&0|14992&1|11881&0|10953&0|2456&1|20404&1|1849&0|11892&0|13141&1|4715&0|10416&0
3523&1|6917&1|3536&0|1524&1|4781&0|6917&0|4781&1|17694&0|5428&1|7863&1;6917&1|8969&0|17694&1;3523&1|6917&1|3536&0|1524&1|4781&0|6917&0|4781&1|17694&0|5428&1|7863&1|6917&1|8969&0|17694&1
10699&1|4652&1|9197&1|7953&0|10699&0|8300&1|4652&1|1466&1|7953&0|289&0;13509&1|13509&1|7020&0;10699&1|4652&1|9197&1|7953&0|10699&0|8300&1|4652&1|1466&1|7953&0|289&0|13509&1|13509&1|7020&0
10168&0|17683&1|15036&1|15847&0|6902&0|10246&1|15242&0|3169&0|4532&1|15925&1;4783&0|6984&1|16690&0;10168&0|17683&1|15036&1|15847&0|6902&0|10246&1|15242&0|3169&0|4532&1|15925&1|4783&0|6984&1|16690&0
3490&1|19895&0|12588&1|11484&1|18075&0|19895&1|20387&0|19895&0|4017&0|20387&0;12604&1|18984&1|8981&1;3490&1|19895&0|12588&1|11484&1|18075&0|19895&1|20387&0|19895&0|4017&0|20387&0|12604&1|18984&1|8981&1
16535&0|7898&0|18019&0|17994&1|4716&0|1319&1|18951&0|6303&1|16568&0|15715&1;10645&0|17481&0|19803&0;16535&0|7898&0|18019&0|17994&1|4716&0|1319&1|18951&0|6303&1|16568&0|15715&1|10645&0|17481&0|19803&0
1284&0|15581&0|12493&0|8981&0|19895&0|2720&0|5564&0|18940&0|14005&0|18075&1;15216&1|11762&0|11762&1;1284&0|15581&0|12493&0|8981&0|19895&0|2720&0|5564&0|18940&0|14005&0|18075&1|15216&1|11762&0|11762&1
7291&0|223&0|18577&0|4017&0|1734&0|8776&0|20715&0|10530&0|1094&0|889&0;18816&1|9853&1|9711&1;7291&0|223&0|18577&0|4017&0|1734&0|8776&0|20715&0|10530&0|1094&0|889&0|18816&1|9853&1|9711&1
10875&0|2442&0|6414&1|20774&0|4257&1|5657&1|11144&1|14689&1|17729&1|11144&0;3194&0|1396&0|12951&0;10875&0|2442&0|6414&1|20774&0|4257&1|5657&1|11144&1|14689&1|17729&1|11144&0|3194&0|1396&0|12951&0
2868&0|14745&0|14745&1|14745&1|9562&1|14745&1|2868&1|2868&1|7107&1|9511&1;9511&0|14745&1|7107&1;2868&0|14745&0|14745&1|14745&1|9562&1|14745&1|2868&1|2868&1|7107&1|9511&1|9511&0|14745&1|7107&1
964&1|17977&1|13040&1|9864&1|9243&1|20077&1|5296&1|18203&1|15814&0|14283&1;9653&1|14226&1|11682&1;964&1|17977&1|13040&1|9864&1|9243&1|20077&1|5296&1|18203&1|15814&0|14283&1|9653&1|14226&1|11682&1
849&0|18136&0|5142&0|12437&0|15154&0|1629&0|17641&0|89&0|9793&0|2438&0;3638&1|8040&0|15721&1;849&0|18136&0|5142&0|12437&0|15154&0|1629&0|17641&0|89&0|9793&0|2438&0|3638&1|8040&0|15721&1
17139&0|19667&0|18862&0|5433&0|533&1|20016&0|17702&1|18201&0|3695&0|12487&0;1899&0|20354&1|7788&0;17139&0|19667&0|18862&0|5433&0|533&1|20016&0|17702&1|18201&0|3695&0|12487&0|1899&0|20354&1|7788&0
17956&1|7052&0|3477&0|3429&0|13448&0|19208&0|12309&0|17956&0|11813&0|13729&1;3477&0|19919&0|16313&0;17956&1|7052&0|3477&0|3429&0|13448&0|19208&0|12309&0|17956&0|11813&0|13729&1|3477&0|19919&0|16313&0
8146&1|15761&1|19815&1|11077&1|6726&0|7434&1|16985&1|1431&1|13297&1|13300&1;17337&1|9579&1|20076&1;8146&1|15761&1|19815&1|11077&1|6726&0|7434&1|16985&1|1431&1|13297&1|13300&1|17337&1|9579&1|20076&1
10824&0|18778&0|5464&0|11993&0|2903&0|20201&0|15512&0|12219&0|1680&0|8972&0;18576&0|8332&0|1114&1;10824&0|18778&0|5464&0|11993&0|2903&0|20201&0|15512&0|12219&0|1680&0|8972&0|18576&0|8332&0|1114&1
7763&1|9636&1|18816&1|19728&1|14634&1|8776&1|18763&0|12586&0|10581&0|16666&0;11736&0|14460&0|15590&0;7763&1|9636&1|18816&1|19728&1|14634&1|8776&1|18763&0|12586&0|10581&0|16666&0|11736&0|14460&0|15590&0
12640&0|17415&0|10217&0|8521&0|14939&0|10794&0|2486&0|19491&0|17415&1|3966&0;18119&0|15849&0|10794&0;12640&0|17415&0|10217&0|8521&0|14939&0|10794&0|2486&0|19491&0|17415&1|3966&0|18119&0|15849&0|10794&0
9411&1|14376&1|11662&1|18998&1|9297&1|8694&1|14018&1|19067&0|13067&1|14743&1;6842&1|11147&1|7705&1;9411&1|14376&1|11662&1|18998&1|9297&1|8694&1|14018&1|19067&0|13067&1|14743&1|6842&1|11147&1|7705&1
11048&0|13250&0|4814&1|19063&1|12628&0|16869&1|6888&0|18463&1|13462&1|1581&0;16720&1|20020&0|19897&1;11048&0|13250&0|4814&1|19063&1|12628&0|16869&1|6888&0|18463&1|13462&1|1581&0|16720&1|20020&0|19897&1
19299&1|3065&1|4583&1|8340&1|6494&0|17940&1|1938&1|16338&1|20055&0|4733&1;11583&1|4141&1|6787&1;19299&1|3065&1|4583&1|8340&1|6494&0|17940&1|1938&1|16338&1|20055&0|4733&1|11583&1|4141&1|6787&1
18916&1|18916&0|16274&0|11333&1|11333&0|11333&1|16274&1|10684&0|2729&1|11333&1;11333&1|16274&1|8208&1;18916&1|18916&0|16274&0|11333&1|11333&0|11333&1|16274&1|10684&0|2729&1|11333&1|11333&1|16274&1|8208&1
16848&0|3081&1|18984&0|18075&0|12604&1|3081&0|9700&1|13479&1|14005&0|16581&0;1284&0|18940&0|12604&0;16848&0|3081&1|18984&0|18075&0|12604&1|3081&0|9700&1|13479&1|14005&0|16581&0|1284&0|18940&0|12604&0
7542&1|9397&0|15876&0|2345&1|10382&1|5629&0|15171&1|7189&1|9963&0|14157&1;15071&0|4134&1|14740&1;7542&1|9397&0|15876&0|2345&1|10382&1|5629&0|15171&1|7189&1|9963&0|14157&1|15071&0|4134&1|14740&1
592&1|13902&1|3639&1|4423&1|17051&1|12681&0|1943&1|6717&1|13513&0|20175&1;10105&0|16556&0|9374&0;592&1|13902&1|3639&1|4423&1|17051&1|12681&0|1943&1|6717&1|13513&0|20175&1|10105&0|16556&0|9374&0
2059&1|8735&0|16029&0|13197&0|18145&0|11492&0|1059&1|18114&0|18145&1|11492&0;19789&0|14559&0|2159&0;2059&1|8735&0|16029&0|13197&0|18145&0|11492&0|1059&1|18114&0|18145&1|11492&0|19789&0|14559&0|2159&0
6100&0|7266&0|6283&1|12586&0|7099&0|8409&0|7266&1|20600&1|5529&0|4554&1;19129&1|12586&0|1990&1;6100&0|7266&0|6283&1|12586&0|7099&0|8409&0|7266&1|20600&1|5529&0|4554&1|19129&1|12586&0|1990&1
12280&0|16278&1|10494&0|12280&0|9034&0|13613&1|9069&0|11786&0|16278&1|20640&0;17947&0|2864&0|20640&0;12280&0|16278&1|10494&0|12280&0|9034&0|13613&1|9069&0|11786&0|16278&1|20640&0|17947&0|2864&0|20640&0
13598&1|16758&1|356&1|2911&1|17335&1|5544&1|18356&1|15216&1|17095&1|10364&1;11092&1|16604&0|6870&0;13598&1|16758&1|356&1|2911&1|17335&1|5544&1|18356&1|15216&1|17095&1|10364&1|11092&1|16604&0|6870&0
12883&0|5224&0|1198&1|20632&1|20632&0|20632&0|4552&1|4552&0|1198&0|12883&0;1198&0|12883&0|20632&0;12883&0|5224&0|1198&1|20632&1|20632&0|20632&0|4552&1|4552&0|1198&0|12883&0|1198&0|12883&0|20632&0
13965&0|11945&1|15216&1|18947&1|3500&1|14700&1|19895&1|8566&0|8052&0|12963&0;20387&0|9853&0|4192&0;13965&0|11945&1|15216&1|18947&1|3500&1|14700&1|19895&1|8566&0|8052&0|12963&0|20387&0|9853&0|4192&0
15591&0|15591&0|4505&0|1675&1|15591&0|4505&0|4505&1|14372&0|8705&0|1504&1;14821&0|7339&0|13907&0;15591&0|15591&0|4505&0|1675&1|15591&0|4505&0|4505&1|14372&0|8705&0|1504&1|14821&0|7339&0|13907&0
17658&0|4894&0|12474&1|1793&0|4485&1|4894&0|8001&0|5679&0|20332&1|5937&0;4862&1|14697&1|12963&1;17658&0|4894&0|12474&1|1793&0|4485&1|4894&0|8001&0|5679&0|20332&1|5937&0|4862&1|14697&1|12963&1
6984&0|17521&0|5337&0|7506&0|11262&0|8389&0|19534&0|13435&0|16110&0|2580&0;16156&0|20158&0|5544&0;6984&0|17521&0|5337&0|7506&0|11262&0|8389&0|19534&0|13435&0|16110&0|2580&0|16156&0|20158&0|5544&0
5544&1|14547&0|11072&0|1021&0|20387&0|14547&0|4547&0|12623&0|5544&0|12997&0;4984&0|14703&0|14113&0;5544&1|14547&0|11072&0|1021&0|20387&0|14547&0|4547&0|12623&0|5544&0|12997&0|4984&0|14703&0|14113&0
15978&1|2632&0|8197&1|11667&1|20770&0|14946&1|9937&0|8885&1|13584&1|7714&0;9922&0|596&0|17730&0;15978&1|2632&0|8197&1|11667&1|20770&0|14946&1|9937&0|8885&1|13584&1|7714&0|9922&0|596&0|17730&0
6762&1|14849&1|14345&0|9200&0|6851&1|10800&0|6048&0|14678&0|9507&1|725&0;5875&0|15065&0|16691&0;6762&1|14849&1|14345&0|9200&0|6851&1|10800&0|6048&0|14678&0|9507&1|725&0|5875&0|15065&0|16691&0
14120&1|14120&1|14120&1|14120&1|14120&1|14120&1|14120&1|15928&1|14120&1|16662&0;14120&1|14120&1|14120&1;14120&1|14120&1|14120&1|14120&1|14120&1|14120&1|14120&1|15928&1|14120&1|16662&0|14120&1|14120&1|14120&1
11477&0|6072&0|17735&1|12312&0|17548&1|8830&0|19809&0|17735&0|13008&0|2583&0;6072&0|2583&0|19809&0;11477&0|6072&0|17735&1|12312&0|17548&1|8830&0|19809&0|17735&0|13008&0|2583&0|6072&0|2583&0|19809&0
1850&0|6355&0|11482&0|15374&1|4670&1|11482&0|16498&0|8962&0|6355&1|1850&0;12656&0|15344&0|17873&0;1850&0|6355&0|11482&0|15374&1|4670&1|11482&0|16498&0|8962&0|6355&1|1850&0|12656&0|15344&0|17873&0
14700&1|2407&0|4513&0|8052&1|10268&1|14700&1|15992&1|1170&0|7222&0|2809&0;8975&0|5379&0|5379&0;14700&1|2407&0|4513&0|8052&1|10268&1|14700&1|15992&1|1170&0|7222&0|2809&0|8975&0|5379&0|5379&0
8972&1|17141&1|14501&0|9011&0|13073&1|17434&1|5469&1|13789&1|4192&0|4123&1;794&1|5308&1|1004&0;8972&1|17141&1|14501&0|9011&0|13073&1|17434&1|5469&1|13789&1|4192&0|4123&1|794&1|5308&1|1004&0
20716&0|10547&0|19752&1|14700&1|1224&1|13135&1|1408&0|20683&1|14512&1|4192&0;8422&1|1293&1|9860&1;20716&0|10547&0|19752&1|14700&1|1224&1|13135&1|1408&0|20683&1|14512&1|4192&0|8422&1|1293&1|9860&1
4952&1|19487&1|19496&1|541&0|1850&1|947&0|15374&0|7551&0|4794&1|947&0;9885&1|5997&1|7014&1;4952&1|19487&1|19496&1|541&0|1850&1|947&0|15374&0|7551&0|4794&1|947&0|9885&1|5997&1|7014&1
20307&0|1914&1|12357&1|6697&0|3826&1|5488&0|1402&1|6697&0|16206&0|14745&1;14528&1|4499&1|5618&1;20307&0|1914&1|12357&1|6697&0|3826&1|5488&0|1402&1|6697&0|16206&0|14745&1|14528&1|4499&1|5618&1
16666&1|5544&1|8776&1|1224&1|12586&1|20683&0|3025&0|3554&0|16156&0|18740&0;11994&0|3500&0|8599&0;16666&1|5544&1|8776&1|1224&1|12586&1|20683&0|3025&0|3554&0|16156&0|18740&0|11994&0|3500&0|8599&0
1224&0|4017&1|12604&1|14005&1|12721&0|5194&1|15216&1|18297&0|14523&1|12586&1;18940&0|8934&0|4017&1;1224&0|4017&1|12604&1|14005&1|12721&0|5194&1|15216&1|18297&0|14523&1|12586&1|18940&0|8934&0|4017&1
5799&1|1191&1|19039&1|1907&1|6330&1|17099&1|8102&1|5799&1|1907&1|19039&1;16670&1|16977&0|13504&1;5799&1|1191&1|19039&1|1907&1|6330&1|17099&1|8102&1|5799&1|1907&1|19039&1|16670&1|16977&0|13504&1
4546&0|19854&0|15060&1|14444&1|3921&0|8039&1|20683&0|753&1|18544&0|13598&0;10096&1|4017&0|7617&0;4546&0|19854&0|15060&1|14444&1|3921&0|8039&1|20683&0|753&1|18544&0|13598&0|10096&1|4017&0|7617&0
9439&1|13598&0|8535&0|8798&0|1273&0|7617&0|16666&0|1293&0|14336&0|18042&0;1524&0|7744&0|14842&0;9439&1|13598&0|8535&0|8798&0|1273&0|7617&0|16666&0|1293&0|14336&0|18042&0|1524&0|7744&0|14842&0
8191&0|10587&0|12737&1|4444&0|16019&1|705&0|8296&0|11845&0|705&0|18515&0;11845&0|13800&0|8191&0;8191&0|10587&0|12737&1|4444&0|16019&1|705&0|8296&0|11845&0|705&0|18515&0|11845&0|13800&0|8191&0
8566&0|9853&0|2494&0|10642&0|9657&0|7763&1|11555&1|7162&0|13163&0|15216&1;13706&1|4353&1|10437&0;8566&0|9853&0|2494&0|10642&0|9657&0|7763&1|11555&1|7162&0|13163&0|15216&1|13706&1|4353&1|10437&0
3256&0|18592&0|9799&0|9621&0|17498&0|1083&0|10892&0|7964&0|18405&0|8341&0;14950&0|1947&0|9038&0;3256&0|18592&0|9799&0|9621&0|17498&0|1083&0|10892&0|7964&0|18405&0|8341&0|14950&0|1947&0|9038&0
11994&0|3500&1|17474&0|11945&0|3554&0|3500&1|8284&0|14652&0|8422&0|13598&0;8284&1|4017&0|3554&1;11994&0|3500&1|17474&0|11945&0|3554&0|3500&1|8284&0|14652&0|8422&0|13598&0|8284&1|4017&0|3554&1
3762&1|11840&0|20728&1|3762&0|17900&1|5739&1|12515&1|3923&0|3848&1|2432&0;13172&0|16282&0|16015&0;3762&1|11840&0|20728&1|3762&0|17900&1|5739&1|12515&1|3923&0|3848&1|2432&0|13172&0|16282&0|16015&0
8599&0|5554&0|6003&0|3944&0|1789&1|1789&0|12666&0|54&0|8599&0|19799&0;19320&0|12586&0|6105&0;8599&0|5554&0|6003&0|3944&0|1789&1|1789&0|12666&0|54&0|8599&0|19799&0|19320&0|12586&0|6105&0
6453&1|14676&1|14299&0|15310&1|14299&1|12264&1|694&1|10775&1|8929&1|12999&0;14676&1|15775&0|16056&1;6453&1|14676&1|14299&0|15310&1|14299&1|12264&1|694&1|10775&1|8929&1|12999&0|14676&1|15775&0|16056&1
18254&0|16039&0|9064&0|238&0|14364&0|16891&0|3982&1|10587&0|7606&0|8826&0;5853&0|17947&0|3357&0;18254&0|16039&0|9064&0|238&0|14364&0|16891&0|3982&1|10587&0|7606&0|8826&0|5853&0|17947&0|3357&0
17626&0|4430&1|10261&0|1097&0|919&0|19358&0|10599&0|10902&0|1078&0|20024&0;12207&1|11752&1|18422&1;17626&0|4430&1|10261&0|1097&0|919&0|19358&0|10599&0|10902&0|1078&0|20024&0|12207&1|11752&1|18422&1
1224&0|15216&1|11762&1|18075&0|15581&1|8934&1|11484&1|18075&1|15216&1|1224&1;1224&1|19895&0|8981&1;1224&0|15216&1|11762&1|18075&0|15581&1|8934&1|11484&1|18075&1|15216&1|1224&1|1224&1|19895&0|8981&1
13163&1|13598&1|10642&1|4118&0|8566&1|10364&1|15216&1|9657&1|8566&0|2494&1;13709&0|15732&1|16975&0;13163&1|13598&1|10642&1|4118&0|8566&1|10364&1|15216&1|9657&1|8566&0|2494&1|13709&0|15732&1|16975&0
5589&0|20088&0|17164&0|20620&0|10036&0|7509&0|8816&0|18120&0|19672&0|2023&0;18120&0|16895&1|18120&0;5589&0|20088&0|17164&0|20620&0|10036&0|7509&0|8816&0|18120&0|19672&0|2023&0|18120&0|16895&1|18120&0
12062&0|12068&0|17976&0|4362&0|15088&0|19493&0|16057&0|8555&0|18000&0|16733&0;7484&0|12828&0|16070&0;12062&0|12068&0|17976&0|4362&0|15088&0|19493&0|16057&0|8555&0|18000&0|16733&0|7484&0|12828&0|16070&0
16994&1|15250&1|15250&1|7294&0|16571&1|14432&1|11940&0|15977&1|19901&1|17999&1;998&1|19933&1|5754&1;16994&1|15250&1|15250&1|7294&0|16571&1|14432&1|11940&0|15977&1|19901&1|17999&1|998&1|19933&1|5754&1
4895&1|10338&1|6457&1|10377&1|5300&1|4377&1|19543&1|6411&1|20043&1|3495&0;5654&1|4161&1|13481&1;4895&1|10338&1|6457&1|10377&1|5300&1|4377&1|19543&1|6411&1|20043&1|3495&0|5654&1|4161&1|13481&1
15806&1|5048&1|4976&0|5608&1|29&1|15608&1|10480&1|6716&0|14527&1|5665&0;19953&1|9563&1|12371&1;15806&1|5048&1|4976&0|5608&1|29&1|15608&1|10480&1|6716&0|14527&1|5665&0|19953&1|9563&1|12371&1
15540&0|3381&1|843&1|2243&0|4416&0|13055&0|10062&0|10419&0|5607&0|4853&1;4840&1|18113&0|12926&0;15540&0|3381&1|843&1|2243&0|4416&0|13055&0|10062&0|10419&0|5607&0|4853&1|4840&1|18113&0|12926&0
3182&0|17410&0|11549&1|19090&0|8187&1|11287&0|11116&0|16301&0|2406&0|16175&1;3724&0|3785&0|3785&0;3182&0|17410&0|11549&1|19090&0|8187&1|11287&0|11116&0|16301&0|2406&0|16175&1|3724&0|3785&0|3785&0
9853&1|1176&0|2584&1|6949&0|4579&0|16434&0|3482&0|5004&0|20193&0|15216&0;1114&0|11690&0|13163&0;9853&1|1176&0|2584&1|6949&0|4579&0|16434&0|3482&0|5004&0|20193&0|15216&0|1114&0|11690&0|13163&0
10932&0|1183&1|13970&1|15015&0|14585&1|13479&1|11072&1|17330&0|624&0|716&1;20370&0|10259&0|16208&0;10932&0|1183&1|13970&1|15015&0|14585&1|13479&1|11072&1|17330&0|624&0|716&1|20370&0|10259&0|16208&0
7584&0|14842&1|14842&0|8718&0|19752&0|18347&0|14079&0|13312&0|19752&0|9422&0;16666&0|15591&0|1475&0;7584&0|14842&1|14842&0|8718&0|19752&0|18347&0|14079&0|13312&0|19752&0|9422&0|16666&0|15591&0|1475&0
8522&1|758&1|4139&1|20117&1|18095&0|12653&1|8456&1|3253&1|13794&1|15629&1;2697&1|2692&1|17299&1;8522&1|758&1|4139&1|20117&1|18095&0|12653&1|8456&1|3253&1|13794&1|15629&1|2697&1|2692&1|17299&1
1491&1|6617&1|12507&1|20061&1|20409&1|14089&1|5883&1|20279&1|5323&1|8108&0;7291&1|4755&1|8052&1;1491&1|6617&1|12507&1|20061&1|20409&1|14089&1|5883&1|20279&1|5323&1|8108&0|7291&1|4755&1|8052&1
5203&1|12493&0|15216&1|5861&1|18606&0|5203&0|6041&1|18606&1|37&1|10077&0;5908&0|1840&0|15184&0;5203&1|12493&0|15216&1|5861&1|18606&0|5203&0|6041&1|18606&1|37&1|10077&0|5908&0|1840&0|15184&0
6542&1|8398&1|14480&1|7411&0|20285&1|20392&1|13858&1|16796&1|15517&0|12289&1;12894&1|9306&1|19298&1;6542&1|8398&1|14480&1|7411&0|20285&1|20392&1|13858&1|16796&1|15517&0|12289&1|12894&1|9306&1|19298&1
18236&0|12557&0|4935&0|11425&0|15706&0|3002&0|3477&1|11795&1|18236&0|16394&0;14539&0|2841&0|16502&0;18236&0|12557&0|4935&0|11425&0|15706&0|3002&0|3477&1|11795&1|18236&0|16394&0|14539&0|2841&0|16502&0
11123&1|6838&1|9801&0|13739&0|13739&0|11091&0|7523&0|12260&0|2288&0|17338&0;1509&0|18895&0|6074&1;11123&1|6838&1|9801&0|13739&0|13739&0|11091&0|7523&0|12260&0|2288&0|17338&0|1509&0|18895&0|6074&1
5223&1|14627&1|10130&0|13307&0|17348&0|7279&0|20128&0|6732&1|2545&1|5851&0;17352&0|2682&1|13854&1;5223&1|14627&1|10130&0|13307&0|17348&0|7279&0|20128&0|6732&1|2545&1|5851&0|17352&0|2682&1|13854&1
