state;action_reward;n_state
11976&1|8531&0|16932&1|11922&0|16914&1|18037&0|13429&1|15644&1|13532&0|14292&1;20285&1|7159&1|8531&0;11976&1|8531&0|16932&1|11922&0|16914&1|18037&0|13429&1|15644&1|13532&0|14292&1|20285&1|7159&1|8531&0
15517&1|9164&0|11012&0|12586&1|10150&0|3178&0|13689&0|12586&0|250&0|12586&0;1293&0|6517&0|20734&0;15517&1|9164&0|11012&0|12586&1|10150&0|3178&0|13689&0|12586&0|250&0|12586&0|1293&0|6517&0|20734&0
11232&1|17653&0|2832&0|10196&0|14011&0|17904&0|14560&0|1445&0|17820&0|11820&0;10926&0|4473&0|7845&0;11232&1|17653&0|2832&0|10196&0|14011&0|17904&0|14560&0|1445&0|17820&0|11820&0|10926&0|4473&0|7845&0
2695&0|1367&0|1081&0|11522&0|17093&0|10562&0|12822&0|14233&0|10412&0|6128&0;18814&0|11268&1|20008&0;2695&0|1367&0|1081&0|11522&0|17093&0|10562&0|12822&0|14233&0|10412&0|6128&0|18814&0|11268&1|20008&0
12127&1|11276&0|14649&1|11276&1|14649&0|1288&1|18687&0|10493&0|11781&0|9847&0;20504&0|5057&0|14066&0;12127&1|11276&0|14649&1|11276&1|14649&0|1288&1|18687&0|10493&0|11781&0|9847&0|20504&0|5057&0|14066&0
11659&0|9519&1|16996&0|6220&1|12084&0|17817&0|9519&0|16996&0|3040&1|118&0;12084&0|9045&0|8591&0;11659&0|9519&1|16996&0|6220&1|12084&0|17817&0|9519&0|16996&0|3040&1|118&0|12084&0|9045&0|8591&0
15415&1|3684&0|5831&0|10992&0|15940&0|12468&0|18775&0|15667&0|11850&0|5798&0;11767&1|5480&1|9968&0;15415&1|3684&0|5831&0|10992&0|15940&0|12468&0|18775&0|15667&0|11850&0|5798&0|11767&1|5480&1|9968&0
1224&1|18984&0|3490&0|19094&1|15216&1|8981&0|7162&1|12604&0|5564&1|8934&0;15581&1|8981&1|12604&1;1224&1|18984&0|3490&0|19094&1|15216&1|8981&0|7162&1|12604&0|5564&1|8934&0|15581&1|8981&1|12604&1
19848&0|5128&0|10416&0|551&0|8535&0|8704&0|1472&0|10970&1|17125&0|10595&0;1115&1|10502&0|16795&0;19848&0|5128&0|10416&0|551&0|8535&0|8704&0|1472&0|10970&1|17125&0|10595&0|1115&1|10502&0|16795&0
18075&0|19895&1|1284&1|20387&1|15216&1|4017&1|1224&0|20387&1|11484&1|18075&1;4017&0|20387&0|1284&0;18075&0|19895&1|1284&1|20387&1|15216&1|4017&1|1224&0|20387&1|11484&1|18075&1|4017&0|20387&0|1284&0
13888&1|947&1|2302&0|1282&1|12656&1|4905&1|4905&0|16482&1|9885&0|9885&1;2302&0|1730&0|947&1;13888&1|947&1|2302&0|1282&1|12656&1|4905&1|4905&0|16482&1|9885&0|9885&1|2302&0|1730&0|947&1
2720&0|7162&0|12604&0|11762&0|8934&0|15581&0|18984&0|8981&0|4312&0|3490&0;4886&0|20449&1|7959&0;2720&0|7162&0|12604&0|11762&0|8934&0|15581&0|18984&0|8981&0|4312&0|3490&0|4886&0|20449&1|7959&0
1538&0|11429&0|4796&1|1538&0|13682&0|13108&0|2717&0|19883&0|18983&0|163&0;10145&1|15105&0|17023&1;1538&0|11429&0|4796&1|1538&0|13682&0|13108&0|2717&0|19883&0|18983&0|163&0|10145&1|15105&0|17023&1
9624&1|19966&0|19764&0|1293&1|16894&0|7041&0|19392&0|4173&0|20041&1|8311&0;20350&1|10018&1|12299&1;9624&1|19966&0|19764&0|1293&1|16894&0|7041&0|19392&0|4173&0|20041&1|8311&0|20350&1|10018&1|12299&1
18878&0|15120&1|15899&1|19099&1|5238&1|3569&1|3576&1|18851&1|12003&1|9856&1;18904&1|894&1|18878&1;18878&0|15120&1|15899&1|19099&1|5238&1|3569&1|3576&1|18851&1|12003&1|9856&1|18904&1|894&1|18878&1
12940&1|10764&1|8998&1|10595&1|13598&1|9478&1|4111&0|12593&1|455&1|18751&1;14731&1|15144&1|3704&1;12940&1|10764&1|8998&1|10595&1|13598&1|9478&1|4111&0|12593&1|455&1|18751&1|14731&1|15144&1|3704&1
8163&1|11635&1|12735&0|12917&1|4156&0|6849&1|12735&1|12917&1|3287&0|20186&1;15957&0|18661&0|10840&0;8163&1|11635&1|12735&0|12917&1|4156&0|6849&1|12735&1|12917&1|3287&0|20186&1|15957&0|18661&0|10840&0
13871&1|13046&0|11895&1|14680&0|18138&1|2300&1|20296&1|13220&1|414&1|18455&1;14976&1|8058&1|9652&0;13871&1|13046&0|11895&1|14680&0|18138&1|2300&1|20296&1|13220&1|414&1|18455&1|14976&1|8058&1|9652&0
13605&1|6701&0|10822&1|7700&0|7193&0|14144&0|6454&0|2022&1|16309&1|4700&1;6192&0|4533&1|19536&0;13605&1|6701&0|10822&1|7700&0|7193&0|14144&0|6454&0|2022&1|16309&1|4700&1|6192&0|4533&1|19536&0
3114&0|20248&0|17844&0|20500&0|20499&0|17764&0|15216&1|18960&0|2089&0|911&0;17541&0|10910&0|9930&0;3114&0|20248&0|17844&0|20500&0|20499&0|17764&0|15216&1|18960&0|2089&0|911&0|17541&0|10910&0|9930&0
16979&0|2885&0|971&0|11983&0|14013&1|7767&0|10264&0|7409&1|7015&0|979&0;15116&0|18784&0|7564&0;16979&0|2885&0|971&0|11983&0|14013&1|7767&0|10264&0|7409&1|7015&0|979&0|15116&0|18784&0|7564&0
8708&1|18618&0|8026&1|19124&0|19494&0|18977&0|13319&0|5519&1|19941&1|427&0;8499&0|20176&0|7171&0;8708&1|18618&0|8026&1|19124&0|19494&0|18977&0|13319&0|5519&1|19941&1|427&0|8499&0|20176&0|7171&0
11664&1|17953&1|10529&1|4318&0|20550&1|8714&1|18322&1|20276&0|3825&1|8135&1;271&1|14204&1|19126&1;11664&1|17953&1|10529&1|4318&0|20550&1|8714&1|18322&1|20276&0|3825&1|8135&1|271&1|14204&1|19126&1
13248&1|3252&0|17654&0|6930&1|14573&0|4634&1|6774&0|8203&1|2826&1|18482&0;18284&0|16255&0|11018&0;13248&1|3252&0|17654&0|6930&1|14573&0|4634&1|6774&0|8203&1|2826&1|18482&0|18284&0|16255&0|11018&0
15932&0|15932&0|18132&1|15708&0|19247&0|12916&0|17746&0|15695&0|16372&0|16898&0;15816&0|223&0|6036&0;15932&0|15932&0|18132&1|15708&0|19247&0|12916&0|17746&0|15695&0|16372&0|16898&0|15816&0|223&0|6036&0
5883&0|19737&1|8894&1|20356&0|5544&0|20061&1|5896&0|15955&1|11945&0|14047&1;7291&0|14209&0|7692&1;5883&0|19737&1|8894&1|20356&0|5544&0|20061&1|5896&0|15955&1|11945&0|14047&1|7291&0|14209&0|7692&1
7605&1|18500&1|10283&0|14046&1|2105&1|8980&1|17020&1|1481&1|16766&1|9048&1;996&0|15583&0|3350&0;7605&1|18500&1|10283&0|14046&1|2105&1|8980&1|17020&1|1481&1|16766&1|9048&1|996&0|15583&0|3350&0
6779&0|9657&0|10642&1|10364&1|11945&1|7162&1|9853&0|2494&0|4192&0|13163&1;13709&0|3500&1|16975&0;6779&0|9657&0|10642&1|10364&1|11945&1|7162&1|9853&0|2494&0|4192&0|13163&1|13709&0|3500&1|16975&0
8119&1|15782&1|20068&1|10234&1|15900&1|9734&1|5262&1|12232&1|10273&0|11744&1;15591&1|18437&0|11650&1;8119&1|15782&1|20068&1|10234&1|15900&1|9734&1|5262&1|12232&1|10273&0|11744&1|15591&1|18437&0|11650&1
10580&1|9636&0|12345&0|6036&1|231&0|9422&0|6513&0|20285&0|12541&1|19091&0;10771&0|11492&0|12586&1;10580&1|9636&0|12345&0|6036&1|231&0|9422&0|6513&0|20285&0|12541&1|19091&0|10771&0|11492&0|12586&1
19486&1|6471&0|2488&0|1305&0|15089&0|9749&0|13890&0|2488&0|16507&0|8479&0;1309&0|1309&1|8875&0;19486&1|6471&0|2488&0|1305&0|15089&0|9749&0|13890&0|2488&0|16507&0|8479&0|1309&0|1309&1|8875&0
11555&1|7584&0|8108&0|17427&0|9422&0|8100&0|1284&0|14270&0|14523&0|7617&0;1475&0|15609&1|8391&0;11555&1|7584&0|8108&0|17427&0|9422&0|8100&0|1284&0|14270&0|14523&0|7617&0|1475&0|15609&1|8391&0
11502&1|14656&0|3293&0|10005&0|13304&1|18359&1|12208&0|16953&1|19267&0|15589&0;7985&0|13604&0|2062&0;11502&1|14656&0|3293&0|10005&0|13304&1|18359&1|12208&0|16953&1|19267&0|15589&0|7985&0|13604&0|2062&0
9434&1|4367&1|12867&1|12016&1|12970&1|18882&1|18306&0|15401&1|14442&1|8266&1;20706&1|15520&1|13493&1;9434&1|4367&1|12867&1|12016&1|12970&1|18882&1|18306&0|15401&1|14442&1|8266&1|20706&1|15520&1|13493&1
17694&0|14523&0|14523&1|15609&0|1284&0|16666&0|15089&0|9726&0|20761&1|11555&0;12655&0|9325&0|752&0;17694&0|14523&0|14523&1|15609&0|1284&0|16666&0|15089&0|9726&0|20761&1|11555&0|12655&0|9325&0|752&0
7963&1|9657&1|9657&1|7062&0|9356&0|7062&0|7016&1|7016&1|17668&0|4498&0;2886&1|15522&0|17398&1;7963&1|9657&1|9657&1|7062&0|9356&0|7062&0|7016&1|7016&1|17668&0|4498&0|2886&1|15522&0|17398&1
12852&0|8745&1|2063&0|1688&0|15837&0|15597&0|12852&1|17907&1|5929&1|322&0;10705&1|2229&1|17215&1;12852&0|8745&1|2063&0|1688&0|15837&0|15597&0|12852&1|17907&1|5929&1|322&0|10705&1|2229&1|17215&1
5162&1|5730&1|19510&0|8227&1|5162&0|18517&1|11017&0|3636&0|853&1|11775&1;17396&0|9817&0|19510&0;5162&1|5730&1|19510&0|8227&1|5162&0|18517&1|11017&0|3636&0|853&1|11775&1|17396&0|9817&0|19510&0
6022&0|16353&1|11035&1|13208&1|16831&1|16462&1|7879&0|6161&0|4708&0|65&1;19451&0|7047&0|13233&0;6022&0|16353&1|11035&1|13208&1|16831&1|16462&1|7879&0|6161&0|4708&0|65&1|19451&0|7047&0|13233&0
4281&1|781&1|14867&1|20140&1|20330&1|8064&0|16969&1|10127&1|10949&1|4362&0;14919&0|968&1|5213&0;4281&1|781&1|14867&1|20140&1|20330&1|8064&0|16969&1|10127&1|10949&1|4362&0|14919&0|968&1|5213&0
1284&0|20387&0|1224&0|5564&0|19895&0|4017&0|12604&1|8981&0|15581&1|11484&0;4312&1|11762&1|15216&1;1284&0|20387&0|1224&0|5564&0|19895&0|4017&0|12604&1|8981&0|15581&1|11484&0|4312&1|11762&1|15216&1
7710&1|19311&1|15339&1|20432&1|9300&1|1713&1|11202&1|10168&1|2046&1|19100&1;6461&1|6079&1|1731&1;7710&1|19311&1|15339&1|20432&1|9300&1|1713&1|11202&1|10168&1|2046&1|19100&1|6461&1|6079&1|1731&1
4118&0|9657&0|7100&1|2494&0|8566&0|6779&0|5009&0|7162&0|9853&1|13163&0;15732&0|3500&1|9942&0;4118&0|9657&0|7100&1|2494&0|8566&0|6779&0|5009&0|7162&0|9853&1|13163&0|15732&0|3500&1|9942&0
6265&0|6265&1|16694&0|3589&1|17429&0|3589&0|8651&0|18513&1|18821&0|5239&0;5239&1|16694&1|966&1;6265&0|6265&1|16694&0|3589&1|17429&0|3589&0|8651&0|18513&1|18821&0|5239&0|5239&1|16694&1|966&1
11682&1|6059&1|277&0|19752&1|20653&0|10958&0|13995&1|2137&1|4045&1|14140&0;14920&1|12396&0|10365&1;11682&1|6059&1|277&0|19752&1|20653&0|10958&0|13995&1|2137&1|4045&1|14140&0|14920&1|12396&0|10365&1
4029&1|4354&0|15099&0|8165&0|11314&0|5677&0|2868&0|7399&0|779&1|1727&0;3627&1|11314&1|20180&1;4029&1|4354&0|15099&0|8165&0|11314&0|5677&0|2868&0|7399&0|779&1|1727&0|3627&1|11314&1|20180&1
18358&0|2903&1|20481&1|13163&1|5544&1|13163&0|5544&0|20657&0|10517&1|5861&0;6779&1|3983&1|12963&1;18358&0|2903&1|20481&1|13163&1|5544&1|13163&0|5544&0|20657&0|10517&1|5861&0|6779&1|3983&1|12963&1
10133&1|10133&1|10133&1|6542&1|1651&0|10133&1|10133&1|10133&1|10133&1|10133&1;18450&1|12368&1|13858&1;10133&1|10133&1|10133&1|6542&1|1651&0|10133&1|10133&1|10133&1|10133&1|10133&1|18450&1|12368&1|13858&1
500&0|16398&0|4585&1|18118&1|16398&1|3487&1|14771&1|5748&0|3487&0|1908&0;18118&0|18118&0|14771&0;500&0|16398&0|4585&1|18118&1|16398&1|3487&1|14771&1|5748&0|3487&0|1908&0|18118&0|18118&0|14771&0
2336&1|19955&1|4621&0|49&1|9292&1|10114&1|16103&1|19713&1|7052&1|4400&1;19713&1|4400&0|19713&1;2336&1|19955&1|4621&0|49&1|9292&1|10114&1|16103&1|19713&1|7052&1|4400&1|19713&1|4400&0|19713&1
8835&0|10300&0|8037&0|3110&1|10300&0|7496&0|8037&1|15115&0|7496&0|3110&0;12484&0|20698&0|7149&0;8835&0|10300&0|8037&0|3110&1|10300&0|7496&0|8037&1|15115&0|7496&0|3110&0|12484&0|20698&0|7149&0
12604&0|5762&0|14005&0|4312&0|11762&0|12493&0|19132&1|2720&0|12604&0|15581&0;2416&1|2285&0|960&0;12604&0|5762&0|14005&0|4312&0|11762&0|12493&0|19132&1|2720&0|12604&0|15581&0|2416&1|2285&0|960&0
14292&0|11555&0|18185&0|7842&0|12586&0|12774&0|8039&0|10581&0|19817&0|18185&0;10581&1|12774&1|12774&0;14292&0|11555&0|18185&0|7842&0|12586&0|12774&0|8039&0|10581&0|19817&0|18185&0|10581&1|12774&1|12774&0
7197&1|6818&1|7954&1|7326&1|11629&1|12139&0|447&1|1431&1|2316&1|9120&1;4276&1|20721&1|14337&1;7197&1|6818&1|7954&1|7326&1|11629&1|12139&0|447&1|1431&1|2316&1|9120&1|4276&1|20721&1|14337&1
16848&0|4457&0|10169&0|17088&1|2726&0|9750&1|7766&0|1630&0|15216&1|15814&0;163&0|4457&1|163&0;16848&0|4457&0|10169&0|17088&1|2726&0|9750&1|7766&0|1630&0|15216&1|15814&0|163&0|4457&1|163&0
19934&0|8687&1|18829&0|19010&1|19872&1|10748&1|14893&0|6695&1|8747&1|15091&0;15181&1|888&1|9634&1;19934&0|8687&1|18829&0|19010&1|19872&1|10748&1|14893&0|6695&1|8747&1|15091&0|15181&1|888&1|9634&1
11196&1|19287&0|176&1|3955&0|11196&1|7945&0|7470&1|9667&1|19893&1|6318&0;9122&0|5354&0|11093&0;11196&1|19287&0|176&1|3955&0|11196&1|7945&0|7470&1|9667&1|19893&1|6318&0|9122&0|5354&0|11093&0
20761&0|20734&0|18470&0|2903&0|19639&0|8599&1|17832&0|8187&0|20481&0|16313&1;8305&0|6595&0|5900&0;20761&0|20734&0|18470&0|2903&0|19639&0|8599&1|17832&0|8187&0|20481&0|16313&1|8305&0|6595&0|5900&0
10537&0|3408&0|810&0|4288&0|18373&0|13639&0|16437&1|11211&0|6881&0|13962&0;18373&0|8451&0|18962&0;10537&0|3408&0|810&0|4288&0|18373&0|13639&0|16437&1|11211&0|6881&0|13962&0|18373&0|8451&0|18962&0
1224&1|1284&0|18075&0|4017&0|14842&1|19895&0|12493&0|1284&0|11749&1|11484&1;12588&0|19094&0|18940&0;1224&1|1284&0|18075&0|4017&0|14842&1|19895&0|12493&0|1284&0|11749&1|11484&1|12588&0|19094&0|18940&0
8386&0|1070&1|11409&0|2482&0|3556&1|372&1|9902&0|8386&1|10765&0|12144&0;12330&1|16515&0|372&0;8386&0|1070&1|11409&0|2482&0|3556&1|372&1|9902&0|8386&1|10765&0|12144&0|12330&1|16515&0|372&0
5646&0|5969&1|3458&1|10475&0|1275&1|20105&0|19174&0|9201&1|9610&1|14367&1;4081&1|13947&1|14788&1;5646&0|5969&1|3458&1|10475&0|1275&1|20105&0|19174&0|9201&1|9610&1|14367&1|4081&1|13947&1|14788&1
